t (s) - 400mA,U1(V) - 400mA,U2(V) - 400mA,,t (s) - 500mA,U1(V) - 500mA,U2(V) - 500mA,,t (s) - 600mA,U1(V) - 600mA,U2(V) - 600mA,,t (s) - 700mA,U1(V) - 700mA,U2(V) - 700mA,,t (s) - 800mA,U1(V) - 800mA,U2(V) - 800mA,,t (s) - 900mA,U1(V) - 900mA,U2(V) - 900mA,,t (s) - 1000mA,U1(V) - 1000mA,U2(V) - 1000mA,,t (s) - 1100mA,U1(V) -  1100mA,U2(V) -  1100mA,,t (s) - 1200mA,U1(V) - 1200mA,U2(V) - 1200mA
2.946667,0.635027,-0.00525,,2.946667,0.488079,0.00525,,2.946667,0.220423,0,,2.946667,-0.073474,0,,2.946667,-0.19943,0,,2.946667,-0.120708,0,,2.946667,-0.05773,0,,2.946667,-0.031489,0,,1.473333,0.041985,0
2.953333,0.629779,-0.00525,,2.953333,0.482831,0,,2.953333,0.230919,0,,2.953333,-0.068226,0,,2.953333,-0.194182,0.00525,,2.953333,-0.120708,0,,2.953333,-0.05773,0,,2.953333,-0.031489,0,,1.476667,0.041985,0
2.96,0.629779,-0.00525,,2.96,0.477582,-0.00525,,2.96,0.236167,0,,2.96,-0.062978,0,,2.96,-0.194182,0,,2.96,-0.115459,0,,2.96,-0.05773,0.00525,,2.96,-0.031489,0,,1.48,0.041985,0
2.966667,0.619283,0,,2.966667,0.472334,0,,2.966667,0.241415,0,,2.966667,-0.05773,0,,2.966667,-0.188934,0,,2.966667,-0.120708,0,,2.966667,-0.05773,0,,2.966667,-0.036737,0,,1.483333,0.047233,0
2.973333,0.624531,-0.00525,,2.973333,0.467086,0,,2.973333,0.246663,0,,2.973333,-0.047233,0,,2.973333,-0.188934,0,,2.973333,-0.115459,0,,2.973333,-0.05773,0,,2.973333,-0.036737,0,,1.486667,0.041985,0.00525
2.98,0.619283,-0.00525,,2.98,0.467086,0,,2.98,0.251912,0,,2.98,-0.041985,0,,2.98,-0.183686,0,,2.98,-0.115459,0,,2.98,-0.05773,0,,2.98,-0.036737,0,,1.49,0.041985,0.00525
2.986667,0.614035,-0.00525,,2.986667,0.45659,0,,2.986667,0.25716,0,,2.986667,-0.036737,0.00525,,2.986667,-0.178437,0,,2.986667,-0.110211,0,,2.986667,-0.052482,0,,2.986667,-0.031489,0,,1.493333,0.041985,0
2.993333,0.608786,0,,2.993333,0.451342,0,,2.993333,0.262408,0,,2.993333,-0.031489,0,,2.993333,-0.173189,0,,2.993333,-0.110211,0,,2.993333,-0.052482,0,,2.993333,-0.031489,0,,1.496667,0.047233,0.00525
3,0.603538,-0.00525,,3,0.446093,0,,3,0.267656,0,,3,-0.020993,0,,3,-0.173189,0,,3,-0.110211,0,,3,-0.052482,0,,3,-0.031489,0.00525,,1.5,0.047233,0
3.006667,0.603538,-0.00525,,3.006667,0.440845,0,,3.006667,0.272904,0,,3.006667,-0.015744,0.00525,,3.006667,-0.167941,0,,3.006667,-0.110211,0,,3.006667,-0.052482,0,,3.006667,-0.031489,0,,1.503333,0.047233,0
3.013333,0.593042,-0.00525,,3.013333,0.435597,0,,3.013333,0.278152,0,,3.013333,-0.010496,0.00525,,3.013333,-0.162693,0,,3.013333,-0.104963,0.00525,,3.013333,-0.052482,0,,3.013333,-0.031489,0,,1.506667,0.047233,0
3.02,0.587794,0,,3.02,0.430349,0,,3.02,0.283401,0,,3.02,0,0.00525,,3.02,-0.157445,0,,3.02,-0.104963,0,,3.02,-0.047233,0,,3.02,-0.031489,0,,1.51,0.052482,0.00525
3.026667,0.582546,-0.00525,,3.026667,0.425101,0,,3.026667,0.288649,0,,3.026667,0.005248,0,,3.026667,-0.157445,0,,3.026667,-0.104963,0,,3.026667,-0.047233,0,,3.026667,-0.036737,0.00525,,1.513333,0.047233,0
3.033333,0.577297,-0.00525,,3.033333,0.419853,0,,3.033333,0.293897,0,,3.033333,0.010496,0.00525,,3.033333,-0.146948,0,,3.033333,-0.104963,0,,3.033333,-0.047233,0,,3.033333,-0.031489,0,,1.516667,0.047233,0
3.04,0.566801,-0.00525,,3.04,0.409356,0,,3.04,0.299145,0,,3.04,0.015744,0,,3.04,-0.152197,0,,3.04,-0.099715,0,,3.04,-0.047233,0,,3.04,-0.031489,0,,1.52,0.052482,0.00525
3.046667,0.566801,0,,3.046667,0.404108,-0.00525,,3.046667,0.299145,0,,3.046667,0.026241,0,,3.046667,-0.146948,0,,3.046667,-0.094467,0,,3.046667,-0.047233,0,,3.046667,-0.031489,0,,1.523333,0.052482,0.00525
3.053333,0.556305,-0.00525,,3.053333,0.39886,0,,3.053333,0.304393,0,,3.053333,0.031489,0,,3.053333,-0.136452,0,,3.053333,-0.094467,0,,3.053333,-0.047233,0,,3.053333,-0.031489,0.00525,,1.526667,0.052482,0.00525
3.06,0.556305,-0.00525,,3.06,0.393612,0,,3.06,0.309641,0,,3.06,0.036737,0,,3.06,-0.136452,0,,3.06,-0.094467,0,,3.06,-0.047233,0,,3.06,-0.031489,0,,1.53,0.052482,0
3.066667,0.545808,-0.00525,,3.066667,0.383116,-0.00525,,3.066667,0.314889,0,,3.066667,0.036737,0,,3.066667,-0.131204,0,,3.066667,-0.089219,0,,3.066667,-0.047233,0,,3.066667,-0.031489,0,,1.533333,0.052482,0.00525
3.073333,0.535312,-0.00525,,3.073333,0.377867,0,,3.073333,0.320138,0,,3.073333,0.047233,0,,3.073333,-0.125956,0,,3.073333,-0.089219,0,,3.073333,-0.041985,0.00525,,3.073333,-0.026241,0,,1.536667,0.052482,0
3.08,0.530064,0,,3.08,0.367371,0,,3.08,0.320138,0,,3.08,0.052482,0.00525,,3.08,-0.120708,0,,3.08,-0.089219,0,,3.08,-0.041985,0,,3.08,-0.031489,0.00525,,1.54,0.052482,0
3.086667,0.524816,0,,3.086667,0.362123,0,,3.086667,0.320138,0,,3.086667,0.05773,0,,3.086667,-0.120708,0,,3.086667,-0.083971,0,,3.086667,-0.041985,0,,3.086667,-0.031489,0,,1.543333,0.052482,0.00525
3.093333,0.51432,-0.00525,,3.093333,0.351627,0,,3.093333,0.325386,0,,3.093333,0.062978,0,,3.093333,-0.110211,0,,3.093333,-0.083971,0,,3.093333,-0.041985,0,,3.093333,-0.031489,0,,1.546667,0.052482,0
3.1,0.503823,-0.00525,,3.1,0.346378,0,,3.1,0.330634,-0.00525,,3.1,0.068226,0.00525,,3.1,-0.110211,0,,3.1,-0.078722,0,,3.1,-0.036737,0,,3.1,-0.031489,0,,1.55,0.052482,0
3.106667,0.498575,0,,3.106667,0.335882,0,,3.106667,0.325386,0,,3.106667,0.073474,0,,3.106667,-0.104963,0,,3.106667,-0.078722,0,,3.106667,-0.041985,0,,3.106667,-0.031489,0.00525,,1.553333,0.05773,0
3.113333,0.488079,-0.00525,,3.113333,0.330634,0,,3.113333,0.330634,0,,3.113333,0.083971,0,,3.113333,-0.099715,0,,3.113333,-0.073474,0,,3.113333,-0.036737,0,,3.113333,-0.031489,0,,1.556667,0.05773,0.00525
3.12,0.477582,0,,3.12,0.320138,0,,3.12,0.330634,0,,3.12,0.089219,0,,3.12,-0.094467,0,,3.12,-0.073474,0,,3.12,-0.036737,0,,3.12,-0.031489,0,,1.56,0.05773,0
3.126667,0.467086,-0.00525,,3.126667,0.309641,-0.00525,,3.126667,0.335882,0,,3.126667,0.089219,0.00525,,3.126667,-0.089219,0,,3.126667,-0.073474,0,,3.126667,-0.036737,0,,3.126667,-0.026241,0.00525,,1.563333,0.05773,0
3.133333,0.45659,-0.00525,,3.133333,0.304393,0,,3.133333,0.330634,0,,3.133333,0.094467,0,,3.133333,-0.089219,0.00525,,3.133333,-0.073474,0,,3.133333,-0.031489,0,,3.133333,-0.026241,0,,1.566667,0.05773,0
3.14,0.451342,0,,3.14,0.293897,0,,3.14,0.335882,0,,3.14,0.099715,0,,3.14,-0.083971,0,,3.14,-0.068226,0,,3.14,-0.031489,0,,3.14,-0.026241,0,,1.57,0.05773,0.00525
3.146667,0.440845,-0.00525,,3.146667,0.283401,0,,3.146667,0.34113,0,,3.146667,0.104963,0.00525,,3.146667,-0.083971,0,,3.146667,-0.068226,0,,3.146667,-0.036737,0,,3.146667,-0.026241,0.00525,,1.573333,0.05773,0.00525
3.153333,0.425101,-0.00525,,3.153333,0.272904,0,,3.153333,0.34113,0,,3.153333,0.110211,0,,3.153333,-0.073474,0,,3.153333,-0.062978,0,,3.153333,-0.031489,0,,3.153333,-0.026241,0,,1.576667,0.062978,0.00525
3.16,0.414605,-0.00525,,3.16,0.262408,0,,3.16,0.34113,0,,3.16,0.115459,0.00525,,3.16,-0.073474,0,,3.16,-0.05773,0,,3.16,-0.031489,0,,3.16,-0.026241,0,,1.58,0.05773,0
3.166667,0.409356,0,,3.166667,0.251912,0,,3.166667,0.34113,0,,3.166667,0.120708,0,,3.166667,-0.068226,0,,3.166667,-0.05773,0,,3.166667,-0.031489,0,,3.166667,-0.026241,0,,1.583333,0.05773,0
3.173333,0.393612,0,,3.173333,0.246663,0,,3.173333,0.34113,0,,3.173333,0.125956,0,,3.173333,-0.062978,0.00525,,3.173333,-0.062978,0,,3.173333,-0.031489,0.00525,,3.173333,-0.026241,0.00525,,1.586667,0.05773,0
3.18,0.383116,0,,3.18,0.236167,0,,3.18,0.34113,0,,3.18,0.125956,0,,3.18,-0.062978,0,,3.18,-0.05773,0,,3.18,-0.026241,0,,3.18,-0.026241,0,,1.59,0.062978,0
3.186667,0.377867,0,,3.186667,0.220423,0,,3.186667,0.34113,-0.00525,,3.186667,0.131204,0,,3.186667,-0.05773,0,,3.186667,-0.052482,0,,3.186667,-0.026241,0,,3.186667,-0.026241,0,,1.593333,0.062978,0
3.193333,0.362123,0,,3.193333,0.215174,0,,3.193333,0.34113,0,,3.193333,0.136452,0,,3.193333,-0.052482,0,,3.193333,-0.052482,0,,3.193333,-0.020993,0,,3.193333,-0.026241,0,,1.596667,0.05773,0
3.2,0.351627,-0.00525,,3.2,0.204678,-0.00525,,3.2,0.34113,0,,3.2,0.136452,0,,3.2,-0.047233,0.00525,,3.2,-0.052482,0,,3.2,-0.020993,0,,3.2,-0.026241,0,,1.6,0.062978,0
3.206667,0.335882,0,,3.206667,0.194182,0,,3.206667,0.34113,0,,3.206667,0.1417,0,,3.206667,-0.041985,0.00525,,3.206667,-0.047233,0,,3.206667,-0.026241,0,,3.206667,-0.026241,0.00525,,1.603333,0.05773,0
3.213333,0.325386,-0.00525,,3.213333,0.183686,0,,3.213333,0.346378,0,,3.213333,0.146948,0,,3.213333,-0.036737,0,,3.213333,-0.047233,0,,3.213333,-0.020993,0,,3.213333,-0.020993,0.00525,,1.606667,0.062978,0.00525
3.22,0.309641,0,,3.22,0.173189,0,,3.22,0.346378,-0.00525,,3.22,0.146948,0,,3.22,-0.031489,0.00525,,3.22,-0.036737,0,,3.22,-0.020993,0,,3.22,-0.020993,0,,1.61,0.062978,0
3.226667,0.299145,-0.00525,,3.226667,0.162693,0,,3.226667,0.34113,0,,3.226667,0.152197,0,,3.226667,-0.031489,0,,3.226667,-0.036737,0,,3.226667,-0.020993,0,,3.226667,-0.020993,0,,1.613333,0.05773,0
3.233333,0.288649,0,,3.233333,0.152197,-0.00525,,3.233333,0.34113,0,,3.233333,0.157445,0,,3.233333,-0.026241,0.00525,,3.233333,-0.041985,0,,3.233333,-0.020993,0,,3.233333,-0.020993,0,,1.616667,0.062978,0
3.24,0.272904,-0.00525,,3.24,0.1417,0,,3.24,0.34113,-0.00525,,3.24,0.162693,0,,3.24,-0.020993,0,,3.24,-0.036737,0,,3.24,-0.015744,0,,3.24,-0.020993,0,,1.62,0.062978,0
3.246667,0.25716,0,,3.246667,0.131204,-0.00525,,3.246667,0.335882,0,,3.246667,0.162693,0,,3.246667,-0.015744,0,,3.246667,-0.036737,0,,3.246667,-0.015744,0,,3.246667,-0.020993,0,,1.623333,0.062978,0
3.253333,0.246663,0,,3.253333,0.120708,-0.00525,,3.253333,0.335882,0,,3.253333,0.167941,0.00525,,3.253333,-0.010496,0,,3.253333,-0.031489,0,,3.253333,-0.015744,0,,3.253333,-0.020993,0,,1.626667,0.062978,0
3.26,0.236167,0,,3.26,0.104963,0,,3.26,0.335882,0,,3.26,0.173189,0.00525,,3.26,-0.010496,0,,3.26,-0.031489,0,,3.26,-0.015744,0,,3.26,-0.020993,0,,1.63,0.068226,0
3.266667,0.220423,-0.00525,,3.266667,0.094467,0,,3.266667,0.330634,0,,3.266667,0.173189,0,,3.266667,-0.005248,0.00525,,3.266667,-0.026241,0,,3.266667,-0.015744,0,,3.266667,-0.020993,0.00525,,1.633333,0.062978,0
3.273333,0.204678,0,,3.273333,0.083971,-0.00525,,3.273333,0.330634,0,,3.273333,0.178437,0,,3.273333,0,0,,3.273333,-0.026241,0,,3.273333,-0.015744,0,,3.273333,-0.015744,0,,1.636667,0.062978,0
3.28,0.194182,-0.00525,,3.28,0.073474,0,,3.28,0.330634,-0.00525,,3.28,0.178437,0.00525,,3.28,0,0,,3.28,-0.026241,0,,3.28,-0.015744,0.00525,,3.28,-0.020993,0,,1.64,0.062978,0
3.286667,0.178437,0,,3.286667,0.062978,0,,3.286667,0.325386,0.00525,,3.286667,0.178437,0,,3.286667,0.005248,0.00525,,3.286667,-0.020993,0.00525,,3.286667,-0.015744,0,,3.286667,-0.020993,0,,1.643333,0.062978,0
3.293333,0.162693,0,,3.293333,0.052482,0,,3.293333,0.325386,0,,3.293333,0.188934,0,,3.293333,0.010496,0,,3.293333,-0.020993,0,,3.293333,-0.010496,0,,3.293333,-0.020993,0,,1.646667,0.062978,0.00525
3.3,0.146948,0,,3.3,0.047233,0,,3.3,0.325386,0,,3.3,0.188934,0,,3.3,0.015744,0.00525,,3.3,-0.015744,0,,3.3,-0.005248,0,,3.3,-0.015744,0,,1.65,0.062978,0
3.306667,0.136452,0,,3.306667,0.031489,0,,3.306667,0.320138,0,,3.306667,0.188934,0,,3.306667,0.015744,0,,3.306667,-0.015744,0,,3.306667,-0.010496,0,,3.306667,-0.020993,0,,1.653333,0.068226,0
3.313333,0.115459,-0.00525,,3.313333,0.020993,0,,3.313333,0.314889,0,,3.313333,0.188934,0,,3.313333,0.020993,0.00525,,3.313333,-0.015744,0,,3.313333,-0.010496,0,,3.313333,-0.020993,0.00525,,1.656667,0.062978,0
3.32,0.104963,0,,3.32,0.010496,0,,3.32,0.314889,0,,3.32,0.194182,0,,3.32,0.020993,0,,3.32,-0.010496,0,,3.32,-0.010496,0,,3.32,-0.015744,0,,1.66,0.068226,0.00525
3.326667,0.089219,0,,3.326667,0,0,,3.326667,0.309641,0,,3.326667,0.194182,0,,3.326667,0.026241,0,,3.326667,-0.010496,0,,3.326667,-0.010496,0,,3.326667,-0.015744,0,,1.663333,0.062978,0
3.333333,0.078722,0,,3.333333,-0.015744,0,,3.333333,0.309641,0,,3.333333,0.19943,0,,3.333333,0.031489,0,,3.333333,-0.005248,0,,3.333333,-0.005248,0,,3.333333,-0.020993,0,,1.666667,0.062978,0
3.34,0.062978,0,,3.34,-0.026241,0,,3.34,0.304393,0,,3.34,0.194182,0,,3.34,0.036737,0,,3.34,-0.005248,0,,3.34,-0.005248,0,,3.34,-0.015744,0.00525,,1.67,0.062978,0.00525
3.346667,0.047233,0,,3.346667,-0.036737,0,,3.346667,0.304393,0,,3.346667,0.19943,0,,3.346667,0.036737,0,,3.346667,-0.005248,0,,3.346667,-0.005248,0,,3.346667,-0.015744,0,,1.673333,0.068226,0
3.353333,0.036737,0,,3.353333,-0.047233,-0.00525,,3.353333,0.299145,0,,3.353333,0.19943,0,,3.353333,0.041985,0,,3.353333,-0.005248,0,,3.353333,-0.005248,0,,3.353333,-0.015744,0,,1.676667,0.062978,0
3.36,0.015744,0,,3.36,-0.05773,0,,3.36,0.293897,0,,3.36,0.204678,0,,3.36,0.041985,0,,3.36,0,0,,3.36,-0.005248,0,,3.36,-0.015744,0,,1.68,0.068226,0.00525
3.366667,0,0,,3.366667,-0.068226,0,,3.366667,0.288649,0,,3.366667,0.204678,0,,3.366667,0.047233,0,,3.366667,0,0,,3.366667,0,0,,3.366667,-0.015744,0.00525,,1.683333,0.062978,0
3.373333,-0.010496,0,,3.373333,-0.078722,0,,3.373333,0.283401,0,,3.373333,0.204678,0,,3.373333,0.047233,0,,3.373333,0.005248,0,,3.373333,0,0,,3.373333,-0.015744,0.00525,,1.686667,0.068226,0
3.38,-0.026241,0,,3.38,-0.094467,0,,3.38,0.278152,0,,3.38,0.204678,0,,3.38,0.052482,0,,3.38,0.005248,0,,3.38,-0.005248,0,,3.38,-0.015744,0,,1.69,0.068226,0
3.386667,-0.047233,0,,3.386667,-0.104963,0,,3.386667,0.278152,0,,3.386667,0.209926,-0.00525,,3.386667,0.05773,0,,3.386667,0.005248,0,,3.386667,0,0,,3.386667,-0.010496,0.00525,,1.693333,0.068226,0
3.393333,-0.05773,-0.00525,,3.393333,-0.115459,0,,3.393333,0.267656,0,,3.393333,0.209926,0,,3.393333,0.05773,0,,3.393333,0.005248,0,,3.393333,0,0,,3.393333,-0.010496,0.00525,,1.696667,0.068226,0
3.4,-0.073474,0,,3.4,-0.120708,0,,3.4,0.267656,0,,3.4,0.209926,0,,3.4,0.062978,0,,3.4,0.010496,0,,3.4,0,0,,3.4,-0.010496,0,,1.7,0.068226,0.00525
3.406667,-0.089219,-0.00525,,3.406667,-0.136452,0,,3.406667,0.262408,0,,3.406667,0.209926,0,,3.406667,0.062978,0,,3.406667,0.010496,0,,3.406667,0,0,,3.406667,-0.010496,0,,1.703333,0.068226,0.00525
3.413333,-0.104963,0,,3.413333,-0.146948,0,,3.413333,0.25716,0,,3.413333,0.209926,0.00525,,3.413333,0.062978,0,,3.413333,0.010496,0,,3.413333,0,0,,3.413333,-0.010496,0,,1.706667,0.068226,0
3.42,-0.120708,0,,3.42,-0.157445,0,,3.42,0.251912,0,,3.42,0.209926,0,,3.42,0.068226,0,,3.42,0.015744,0,,3.42,0.005248,0,,3.42,-0.010496,0,,1.71,0.068226,0.00525
3.426667,-0.136452,0,,3.426667,-0.167941,0,,3.426667,0.246663,0,,3.426667,0.209926,0,,3.426667,0.073474,0,,3.426667,0.015744,0,,3.426667,0,0,,3.426667,-0.010496,0,,1.713333,0.068226,0
3.433333,-0.146948,0,,3.433333,-0.178437,0,,3.433333,0.241415,0,,3.433333,0.209926,0,,3.433333,0.073474,0,,3.433333,0.015744,0,,3.433333,0.005248,0,,3.433333,-0.010496,0,,1.716667,0.068226,0
3.44,-0.162693,0,,3.44,-0.183686,0,,3.44,0.236167,0,,3.44,0.209926,0,,3.44,0.078722,0,,3.44,0.015744,0,,3.44,0.005248,0,,3.44,-0.005248,0.00525,,1.72,0.062978,0
3.446667,-0.178437,0,,3.446667,-0.19943,0,,3.446667,0.230919,0,,3.446667,0.209926,0,,3.446667,0.078722,0,,3.446667,0.020993,0,,3.446667,0.005248,0,,3.446667,-0.005248,0,,1.723333,0.068226,0
3.453333,-0.194182,0,,3.453333,-0.204678,0,,3.453333,0.225671,0,,3.453333,0.209926,0,,3.453333,0.083971,0,,3.453333,0.020993,0,,3.453333,0.010496,0,,3.453333,-0.010496,0,,1.726667,0.068226,0.00525
3.46,-0.209926,0,,3.46,-0.215174,0.00525,,3.46,0.220423,0,,3.46,0.209926,0,,3.46,0.083971,0,,3.46,0.026241,0,,3.46,0.010496,0,,3.46,-0.010496,0.00525,,1.73,0.062978,0
3.466667,-0.220423,0,,3.466667,-0.225671,0,,3.466667,0.215174,0,,3.466667,0.209926,0,,3.466667,0.083971,0,,3.466667,0.020993,0,,3.466667,0.010496,0,,3.466667,-0.010496,0,,1.733333,0.068226,0
3.473333,-0.236167,0,,3.473333,-0.236167,0,,3.473333,0.209926,0,,3.473333,0.209926,0,,3.473333,0.089219,0,,3.473333,0.026241,0,,3.473333,0.005248,0,,3.473333,-0.010496,0.00525,,1.736667,0.068226,0.00525
3.48,-0.251912,0,,3.48,-0.246663,0.00525,,3.48,0.204678,0,,3.48,0.204678,0,,3.48,0.094467,0,,3.48,0.026241,0,,3.48,0.010496,0,,3.48,-0.005248,0,,1.74,0.068226,0
3.486667,-0.267656,0,,3.486667,-0.25716,0,,3.486667,0.19943,0,,3.486667,0.204678,0,,3.486667,0.094467,0,,3.486667,0.026241,0,,3.486667,0.005248,0,,3.486667,-0.005248,0.00525,,1.743333,0.068226,0.00525
3.493333,-0.278152,0,,3.493333,-0.262408,0.00525,,3.493333,0.188934,0.00525,,3.493333,0.209926,0,,3.493333,0.094467,0,,3.493333,0.031489,0,,3.493333,0.010496,0,,3.493333,-0.005248,0,,1.746667,0.068226,0
3.5,-0.293897,0,,3.5,-0.272904,0,,3.5,0.188934,0,,3.5,0.204678,0,,3.5,0.094467,0,,3.5,0.026241,0,,3.5,0.010496,0,,3.5,-0.005248,0,,1.75,0.068226,0
3.506667,-0.304393,0,,3.506667,-0.278152,0,,3.506667,0.178437,0,,3.506667,0.19943,0,,3.506667,0.099715,0,,3.506667,0.031489,0,,3.506667,0.010496,0,,3.506667,-0.005248,0,,1.753333,0.062978,0.00525
3.513333,-0.320138,0,,3.513333,-0.288649,0,,3.513333,0.178437,0,,3.513333,0.204678,0,,3.513333,0.094467,0,,3.513333,0.031489,0,,3.513333,0.010496,0,,3.513333,-0.005248,0.00525,,1.756667,0.062978,0
3.52,-0.335882,0,,3.52,-0.293897,0,,3.52,0.167941,-0.00525,,3.52,0.19943,0,,3.52,0.099715,0.00525,,3.52,0.031489,0,,3.52,0.010496,0,,3.52,-0.010496,0,,1.76,0.062978,0
3.526667,-0.346378,0,,3.526667,-0.304393,0,,3.526667,0.162693,0,,3.526667,0.19943,0,,3.526667,0.104963,0,,3.526667,0.036737,0,,3.526667,0.010496,0,,3.526667,-0.005248,0.00525,,1.763333,0.062978,0
3.533333,-0.356875,0,,3.533333,-0.314889,0,,3.533333,0.157445,0,,3.533333,0.19943,0,,3.533333,0.104963,0,,3.533333,0.036737,0,,3.533333,0.010496,0,,3.533333,-0.005248,0,,1.766667,0.068226,0
3.54,-0.367371,0.00525,,3.54,-0.320138,0.00525,,3.54,0.146948,-0.00525,,3.54,0.19943,0,,3.54,0.104963,0,,3.54,0.036737,-0.00525,,3.54,0.015744,0,,3.54,-0.005248,0.00525,,1.77,0.068226,0
3.546667,-0.377867,0,,3.546667,-0.325386,0,,3.546667,0.1417,0,,3.546667,0.194182,0,,3.546667,0.104963,0,,3.546667,0.036737,0,,3.546667,0.010496,0,,3.546667,-0.005248,0,,1.773333,0.062978,0
3.553333,-0.393612,0.00525,,3.553333,-0.335882,0,,3.553333,0.136452,0,,3.553333,0.194182,0,,3.553333,0.104963,0,,3.553333,0.036737,0,,3.553333,0.015744,0,,3.553333,-0.005248,0,,1.776667,0.062978,0
3.56,-0.409356,0,,3.56,-0.346378,0,,3.56,0.125956,0,,3.56,0.188934,0,,3.56,0.110211,0,,3.56,0.041985,0,,3.56,0.015744,0,,3.56,-0.005248,0,,1.78,0.062978,0
3.566667,-0.419853,0,,3.566667,-0.351627,0,,3.566667,0.120708,0,,3.566667,0.188934,0,,3.566667,0.110211,0,,3.566667,0.041985,0,,3.566667,0.015744,0,,3.566667,0,0,,1.783333,0.062978,0
3.573333,-0.425101,0,,3.573333,-0.356875,0,,3.573333,0.115459,-0.00525,,3.573333,0.188934,0,,3.573333,0.110211,0,,3.573333,0.041985,0,,3.573333,0.015744,0,,3.573333,-0.005248,0,,1.786667,0.062978,0
3.58,-0.435597,0,,3.58,-0.362123,0,,3.58,0.110211,0,,3.58,0.183686,0,,3.58,0.110211,0,,3.58,0.041985,0,,3.58,0.015744,0,,3.58,-0.005248,0,,1.79,0.062978,0
3.586667,-0.446093,0,,3.586667,-0.367371,0,,3.586667,0.104963,0,,3.586667,0.183686,0,,3.586667,0.110211,0,,3.586667,0.041985,0.00525,,3.586667,0.015744,0.00525,,3.586667,-0.005248,0.00525,,1.793333,0.062978,0
3.593333,-0.461838,0.00525,,3.593333,-0.377867,0.00525,,3.593333,0.094467,0,,3.593333,0.183686,0,,3.593333,0.115459,0,,3.593333,0.047233,0,,3.593333,0.015744,0,,3.593333,-0.005248,0,,1.796667,0.062978,0
3.6,-0.472334,0.00525,,3.6,-0.383116,0,,3.6,0.089219,0,,3.6,0.183686,0,,3.6,0.115459,0,,3.6,0.041985,0,,3.6,0.015744,0,,3.6,0,0,,1.8,0.062978,0.00525
3.606667,-0.482831,0.00525,,3.606667,-0.388364,0,,3.606667,0.083971,0,,3.606667,0.178437,0,,3.606667,0.115459,0,,3.606667,0.047233,0,,3.606667,0.015744,0,,3.606667,0,0.00525,,1.803333,0.062978,0
3.613333,-0.488079,0,,3.613333,-0.393612,0,,3.613333,0.073474,0,,3.613333,0.178437,0,,3.613333,0.120708,0,,3.613333,0.047233,0,,3.613333,0.015744,0,,3.613333,0,0,,1.806667,0.062978,0
3.62,-0.498575,0.00525,,3.62,-0.39886,0,,3.62,0.068226,0,,3.62,0.173189,0,,3.62,0.115459,0,,3.62,0.047233,0,,3.62,0.015744,0,,3.62,0,0,,1.81,0.062978,0
3.626667,-0.509071,0.00525,,3.626667,-0.404108,0,,3.626667,0.062978,0,,3.626667,0.167941,0,,3.626667,0.120708,0.00525,,3.626667,0.047233,-0.00525,,3.626667,0.015744,0,,3.626667,0,0,,1.813333,0.062978,0
3.633333,-0.51432,0,,3.633333,-0.404108,0,,3.633333,0.05773,0,,3.633333,0.167941,0,,3.633333,0.120708,0,,3.633333,0.047233,0,,3.633333,0.015744,0,,3.633333,0,0,,1.816667,0.062978,0.00525
3.64,-0.524816,0.00525,,3.64,-0.409356,0.00525,,3.64,0.047233,0,,3.64,0.162693,0.00525,,3.64,0.115459,0,,3.64,0.047233,0,,3.64,0.020993,0,,3.64,0,0,,1.82,0.062978,0
3.646667,-0.535312,0,,3.646667,-0.414605,0.00525,,3.646667,0.041985,0,,3.646667,0.162693,0,,3.646667,0.120708,0,,3.646667,0.047233,0,,3.646667,0.015744,0,,3.646667,0,0.00525,,1.823333,0.062978,0.00525
3.653333,-0.54056,0.00525,,3.653333,-0.419853,0,,3.653333,0.036737,0,,3.653333,0.162693,0,,3.653333,0.120708,0,,3.653333,0.047233,0,,3.653333,0.015744,0,,3.653333,0.005248,0,,1.826667,0.062978,0.00525
3.66,-0.551057,0.00525,,3.66,-0.425101,0.00525,,3.66,0.031489,0,,3.66,0.157445,0,,3.66,0.115459,0,,3.66,0.052482,0,,3.66,0.015744,0,,3.66,0,0,,1.83,0.062978,0
3.666667,-0.556305,0.00525,,3.666667,-0.425101,0.00525,,3.666667,0.020993,0,,3.666667,0.152197,0.00525,,3.666667,0.115459,0,,3.666667,0.047233,0,,3.666667,0.015744,0,,3.666667,0,0,,1.833333,0.062978,0
3.673333,-0.561553,0,,3.673333,-0.435597,0,,3.673333,0.015744,0,,3.673333,0.152197,0.00525,,3.673333,0.115459,0,,3.673333,0.052482,0,,3.673333,0.015744,0,,3.673333,0,0,,1.836667,0.05773,0
3.68,-0.566801,0.00525,,3.68,-0.435597,0.00525,,3.68,0.010496,0,,3.68,0.152197,0,,3.68,0.115459,0,,3.68,0.052482,0,,3.68,0.015744,0,,3.68,0,0,,1.84,0.062978,0
3.686667,-0.572049,0.00525,,3.686667,-0.440845,0,,3.686667,0.005248,0,,3.686667,0.146948,0,,3.686667,0.115459,0.00525,,3.686667,0.047233,0,,3.686667,0.015744,0,,3.686667,0,0,,1.843333,0.05773,0
3.693333,-0.577297,0.00525,,3.693333,-0.440845,0.00525,,3.693333,-0.005248,0,,3.693333,0.1417,0,,3.693333,0.115459,0,,3.693333,0.052482,0,,3.693333,0.020993,0,,3.693333,0,0,,1.846667,0.05773,0
